id,"measure","response",year,"organisation","group",score
16966,"B40","P",2012,"DFE","A",39
16967,"B41","P",2012,"DFE","A",46
16968,"B42","P",2012,"DFE","A",39
16969,"B43","P",2012,"DFE","A",31
16970,"B44","P",2012,"DFE","A",35
16971,"B45","P",2012,"DFE","A",27
16972,"B46","P",2012,"DFE","A",17
16973,"B47","P",2012,"DFE","A",55
16974,"B48","P",2012,"DFE","A",37
16975,"B49","P",2012,"DFE","A",36
16976,"B50","P",2012,"DFE","A",53
16977,"B51","P",2012,"DFE","A",43
16978,"B52","P",2012,"DFE","A",40
16979,"B53","P",2012,"DFE","A",38
16980,"B54","P",2012,"DFE","A",35
16981,"B55","P",2012,"DFE","A",41
16982,"B56","P",2012,"DFE","A",56
16983,"B57","P",2012,"DFE","A",30
16984,"D01","P",2012,"DFE","A",92
16985,"D02","P",2012,"DFE","A",65
16986,"D03","P",2012,"DFE","A",70
16987,"E01","P",2012,"DFE","A",10
16988,"E03","P",2012,"DFE","A",8
16989,"W01","P",2012,"DFE","A",62
16990,"W02","P",2012,"DFE","A",68
16991,"W03","P",2012,"DFE","A",58
16992,"W04","P",2012,"DFE","A",49
16993,"X01","P",2012,"DFE","A",83
16994,"X02","P",2012,"DFE","A",64
16995,"X03","P",2012,"DFE","A",63
16996,"X04","P",2012,"DFE","A",74
16997,"X05","P",2012,"DFE","A",73
16998,"EEI","P",2012,"DECC","A",58
16999,"MW","P",2012,"DECC","A",78
17000,"OP","P",2012,"DECC","A",86
17001,"LM","P",2012,"DECC","A",65
17002,"MT","P",2012,"DECC","A",81
17003,"LD","P",2012,"DECC","A",55
17004,"IF","P",2012,"DECC","A",76
17005,"RW","P",2012,"DECC","A",69
17006,"PB","P",2012,"DECC","A",28
17007,"LC","P",2012,"DECC","A",42
17008,"B01","P",2012,"DECC","A",92
17009,"B02","P",2012,"DECC","A",84
17010,"B03","P",2012,"DECC","A",77
17011,"B04","P",2012,"DECC","A",58
17012,"B05","P",2012,"DECC","A",79
17013,"B06","P",2012,"DECC","A",87
17014,"B07","P",2012,"DECC","A",84
17015,"B08","P",2012,"DECC","A",86
17016,"B09","P",2012,"DECC","A",68
17017,"B10","P",2012,"DECC","A",83
17018,"B11","P",2012,"DECC","A",84
17019,"B12","P",2012,"DECC","A",62
17020,"B13","P",2012,"DECC","A",77
17021,"B14","P",2012,"DECC","A",79
17022,"B15","P",2012,"DECC","A",58
17023,"B16","P",2012,"DECC","A",59
17024,"B17","P",2012,"DECC","A",51
17025,"B18","P",2012,"DECC","A",33
17026,"B19","P",2012,"DECC","A",85
17027,"B20","P",2012,"DECC","A",81
17028,"B21","P",2012,"DECC","A",76
17029,"B22","P",2012,"DECC","A",68
17030,"B23","P",2012,"DECC","A",55
17031,"B24","P",2012,"DECC","A",50
17032,"B25","P",2012,"DECC","A",48
17033,"B26","P",2012,"DECC","A",81
17034,"B27","P",2012,"DECC","A",87
17035,"B28","P",2012,"DECC","A",68
17036,"B29","P",2012,"DECC","A",69
17037,"B30","P",2012,"DECC","A",79
17038,"B31","P",2012,"DECC","A",68
17039,"B32","P",2012,"DECC","A",73
17040,"B33","P",2012,"DECC","A",88
17041,"B34","P",2012,"DECC","A",71
17042,"B35","P",2012,"DECC","A",50
17043,"B36","P",2012,"DECC","A",56
17044,"B37","P",2012,"DECC","A",29
17045,"B38","P",2012,"DECC","A",31
17046,"B39","P",2012,"DECC","A",23
17047,"B40","P",2012,"DECC","A",39
17048,"B41","P",2012,"DECC","A",64
17049,"B42","P",2012,"DECC","A",47
17050,"B43","P",2012,"DECC","A",27
17051,"B44","P",2012,"DECC","A",42
17052,"B45","P",2012,"DECC","A",27
17053,"B46","P",2012,"DECC","A",25
17054,"B47","P",2012,"DECC","A",67
17055,"B48","P",2012,"DECC","A",39
17056,"B49","P",2012,"DECC","A",43
17057,"B50","P",2012,"DECC","A",63
17058,"B51","P",2012,"DECC","A",47
17059,"B52","P",2012,"DECC","A",40
17060,"B53","P",2012,"DECC","A",42
17061,"B54","P",2012,"DECC","A",42
17062,"B55","P",2012,"DECC","A",47
17063,"B56","P",2012,"DECC","A",59
17064,"B57","P",2012,"DECC","A",35
17065,"D01","P",2012,"DECC","A",95
17066,"D02","P",2012,"DECC","A",62
17067,"D03","P",2012,"DECC","A",70
17068,"E01","P",2012,"DECC","A",9
17069,"E03","P",2012,"DECC","A",7
17070,"W01","P",2012,"DECC","A",65
17071,"W02","P",2012,"DECC","A",71
17072,"W03","P",2012,"DECC","A",56
17073,"W04","P",2012,"DECC","A",44
17074,"X01","P",2012,"DECC","A",83
17075,"X02","P",2012,"DECC","A",65
17076,"X03","P",2012,"DECC","A",62
17077,"X04","P",2012,"DECC","A",75
17078,"X05","P",2012,"DECC","A",62
17079,"EEI","P",2012,"DEFRA","A",50
17080,"MW","P",2012,"DEFRA","A",74
17081,"OP","P",2012,"DEFRA","A",73
17082,"LM","P",2012,"DEFRA","A",65
17083,"MT","P",2012,"DEFRA","A",79
17084,"LD","P",2012,"DEFRA","A",36
17085,"IF","P",2012,"DEFRA","A",75
17086,"RW","P",2012,"DEFRA","A",69
17087,"PB","P",2012,"DEFRA","A",28
17088,"LC","P",2012,"DEFRA","A",31
17089,"B01","P",2012,"DEFRA","A",88
17090,"B02","P",2012,"DEFRA","A",78
17091,"B03","P",2012,"DEFRA","A",71
17092,"B04","P",2012,"DEFRA","A",55
17093,"B05","P",2012,"DEFRA","A",77
17094,"B06","P",2012,"DEFRA","A",74
17095,"B07","P",2012,"DEFRA","A",70
17096,"B08","P",2012,"DEFRA","A",75
17097,"B09","P",2012,"DEFRA","A",68
17098,"B10","P",2012,"DEFRA","A",84
17099,"B11","P",2012,"DEFRA","A",83
17100,"B12","P",2012,"DEFRA","A",58
17101,"B13","P",2012,"DEFRA","A",76
17102,"B14","P",2012,"DEFRA","A",78
17103,"B15","P",2012,"DEFRA","A",59
17104,"B16","P",2012,"DEFRA","A",57
17105,"B17","P",2012,"DEFRA","A",50
17106,"B18","P",2012,"DEFRA","A",36
17107,"B19","P",2012,"DEFRA","A",83
17108,"B20","P",2012,"DEFRA","A",79
17109,"B21","P",2012,"DEFRA","A",74
17110,"B22","P",2012,"DEFRA","A",45
17111,"B23","P",2012,"DEFRA","A",36
17112,"B24","P",2012,"DEFRA","A",27
17113,"B25","P",2012,"DEFRA","A",37
17114,"B26","P",2012,"DEFRA","A",79
17115,"B27","P",2012,"DEFRA","A",87
17116,"B28","P",2012,"DEFRA","A",61
17117,"B29","P",2012,"DEFRA","A",71
17118,"B30","P",2012,"DEFRA","A",78
17119,"B31","P",2012,"DEFRA","A",67
17120,"B32","P",2012,"DEFRA","A",68
17121,"B33","P",2012,"DEFRA","A",85
17122,"B34","P",2012,"DEFRA","A",69
17123,"B35","P",2012,"DEFRA","A",53
17124,"B36","P",2012,"DEFRA","A",64
17125,"B37","P",2012,"DEFRA","A",28
17126,"B38","P",2012,"DEFRA","A",30
17127,"B39","P",2012,"DEFRA","A",26
17128,"B40","P",2012,"DEFRA","A",29
17129,"B41","P",2012,"DEFRA","A",42
17130,"B42","P",2012,"DEFRA","A",34
17131,"B43","P",2012,"DEFRA","A",22
17132,"B44","P",2012,"DEFRA","A",29
17133,"B45","P",2012,"DEFRA","A",19
17134,"B46","P",2012,"DEFRA","A",14
17135,"B47","P",2012,"DEFRA","A",56
17136,"B48","P",2012,"DEFRA","A",31
17137,"B49","P",2012,"DEFRA","A",37
17138,"B50","P",2012,"DEFRA","A",41
17139,"B51","P",2012,"DEFRA","A",32
17140,"B52","P",2012,"DEFRA","A",36
17141,"B53","P",2012,"DEFRA","A",26
17142,"B54","P",2012,"DEFRA","A",25
17143,"B55","P",2012,"DEFRA","A",31
17144,"B56","P",2012,"DEFRA","A",52
17145,"B57","P",2012,"DEFRA","A",24
17146,"D01","P",2012,"DEFRA","A",94
17147,"D02","P",2012,"DEFRA","A",63
17148,"D03","P",2012,"DEFRA","A",69
17149,"E01","P",2012,"DEFRA","A",10
17150,"E03","P",2012,"DEFRA","A",9
17151,"W01","P",2012,"DEFRA","A",60
17152,"W02","P",2012,"DEFRA","A",66
17153,"W03","P",2012,"DEFRA","A",59
17154,"W04","P",2012,"DEFRA","A",49
17155,"X01","P",2012,"DEFRA","A",85
17156,"X02","P",2012,"DEFRA","A",64
17157,"X03","P",2012,"DEFRA","A",60
17158,"X04","P",2012,"DEFRA","A",68
17159,"X05","P",2012,"DEFRA","A",66
17160,"EEI","P",2012,"AHVLA","A",46
17161,"MW","P",2012,"AHVLA","A",65
17162,"OP","P",2012,"AHVLA","A",60
17163,"LM","P",2012,"AHVLA","A",60
17164,"MT","P",2012,"AHVLA","A",75
17165,"LD","P",2012,"AHVLA","A",35
17166,"IF","P",2012,"AHVLA","A",67
17167,"RW","P",2012,"AHVLA","A",66
17168,"PB","P",2012,"AHVLA","A",28
17169,"LC","P",2012,"AHVLA","A",21
17170,"B01","P",2012,"AHVLA","A",86
17171,"B02","P",2012,"AHVLA","A",73
17172,"B03","P",2012,"AHVLA","A",64
17173,"B04","P",2012,"AHVLA","A",39
17174,"B05","P",2012,"AHVLA","A",62
17175,"B06","P",2012,"AHVLA","A",62
17176,"B07","P",2012,"AHVLA","A",54
17177,"B08","P",2012,"AHVLA","A",63
17178,"B09","P",2012,"AHVLA","A",58
17179,"B10","P",2012,"AHVLA","A",80
17180,"B11","P",2012,"AHVLA","A",76
17181,"B12","P",2012,"AHVLA","A",51
17182,"B13","P",2012,"AHVLA","A",63
17183,"B14","P",2012,"AHVLA","A",73
17184,"B15","P",2012,"AHVLA","A",57
17185,"B16","P",2012,"AHVLA","A",49
17186,"B17","P",2012,"AHVLA","A",54
17187,"B18","P",2012,"AHVLA","A",34
17188,"B19","P",2012,"AHVLA","A",82
17189,"B20","P",2012,"AHVLA","A",77
17190,"B21","P",2012,"AHVLA","A",65
17191,"B22","P",2012,"AHVLA","A",46
17192,"B23","P",2012,"AHVLA","A",38
17193,"B24","P",2012,"AHVLA","A",23
17194,"B25","P",2012,"AHVLA","A",33
17195,"B26","P",2012,"AHVLA","A",73
17196,"B27","P",2012,"AHVLA","A",82
17197,"B28","P",2012,"AHVLA","A",50
17198,"B29","P",2012,"AHVLA","A",64
17199,"B30","P",2012,"AHVLA","A",77
17200,"B31","P",2012,"AHVLA","A",59
17201,"B32","P",2012,"AHVLA","A",62
17202,"B33","P",2012,"AHVLA","A",85
17203,"B34","P",2012,"AHVLA","A",66
17204,"B35","P",2012,"AHVLA","A",50
17205,"B36","P",2012,"AHVLA","A",63
17206,"B37","P",2012,"AHVLA","A",26
17207,"B38","P",2012,"AHVLA","A",34
17208,"B39","P",2012,"AHVLA","A",24
17209,"B40","P",2012,"AHVLA","A",18
17210,"B41","P",2012,"AHVLA","A",29
17211,"B42","P",2012,"AHVLA","A",24
17212,"B43","P",2012,"AHVLA","A",20
17213,"B44","P",2012,"AHVLA","A",16
17214,"B45","P",2012,"AHVLA","A",13
17215,"B46","P",2012,"AHVLA","A",11
17216,"B47","P",2012,"AHVLA","A",36
17217,"B48","P",2012,"AHVLA","A",20
17218,"B49","P",2012,"AHVLA","A",24
17219,"B50","P",2012,"AHVLA","A",32
17220,"B51","P",2012,"AHVLA","A",22
17221,"B52","P",2012,"AHVLA","A",35
17222,"B53","P",2012,"AHVLA","A",25
17223,"B54","P",2012,"AHVLA","A",21
17224,"B55","P",2012,"AHVLA","A",23
17225,"B56","P",2012,"AHVLA","A",41
17226,"B57","P",2012,"AHVLA","A",21
17227,"D01","P",2012,"AHVLA","A",88
17228,"D02","P",2012,"AHVLA","A",60
17229,"D03","P",2012,"AHVLA","A",56
17230,"E01","P",2012,"AHVLA","A",12
17231,"E03","P",2012,"AHVLA","A",12
17232,"W01","P",2012,"AHVLA","A",50
17233,"W02","P",2012,"AHVLA","A",58
17234,"W03","P",2012,"AHVLA","A",54
17235,"W04","P",2012,"AHVLA","A",47
17236,"X01","P",2012,"AHVLA","A",83
17237,"X02","P",2012,"AHVLA","A",56
17238,"X03","P",2012,"AHVLA","A",52
17239,"X04","P",2012,"AHVLA","A",52
17240,"X05","P",2012,"AHVLA","A",73
17241,"EEI","P",2012,"CEFAS","A",64
17242,"MW","P",2012,"CEFAS","A",82
17243,"OP","P",2012,"CEFAS","A",81
17244,"LM","P",2012,"CEFAS","A",68
17245,"MT","P",2012,"CEFAS","A",81
17246,"LD","P",2012,"CEFAS","A",56
17247,"IF","P",2012,"CEFAS","A",81
17248,"RW","P",2012,"CEFAS","A",76
17249,"PB","P",2012,"CEFAS","A",18
17250,"LC","P",2012,"CEFAS","A",48
17251,"B01","P",2012,"CEFAS","A",94
17252,"B02","P",2012,"CEFAS","A",85
17253,"B03","P",2012,"CEFAS","A",82
17254,"B04","P",2012,"CEFAS","A",66
17255,"B05","P",2012,"CEFAS","A",85
17256,"B06","P",2012,"CEFAS","A",82
17257,"B07","P",2012,"CEFAS","A",77
17258,"B08","P",2012,"CEFAS","A",83
17259,"B09","P",2012,"CEFAS","A",66
17260,"B10","P",2012,"CEFAS","A",83
17261,"B11","P",2012,"CEFAS","A",84
17262,"B12","P",2012,"CEFAS","A",61
17263,"B13","P",2012,"CEFAS","A",72
17264,"B14","P",2012,"CEFAS","A",78
17265,"B15","P",2012,"CEFAS","A",66
17266,"B16","P",2012,"CEFAS","A",60
17267,"B17","P",2012,"CEFAS","A",65
17268,"B18","P",2012,"CEFAS","A",45
17269,"B19","P",2012,"CEFAS","A",82
17270,"B20","P",2012,"CEFAS","A",80
17271,"B21","P",2012,"CEFAS","A",80
17272,"B22","P",2012,"CEFAS","A",67
17273,"B23","P",2012,"CEFAS","A",52
17274,"B24","P",2012,"CEFAS","A",49
17275,"B25","P",2012,"CEFAS","A",56
17276,"B26","P",2012,"CEFAS","A",81
17277,"B27","P",2012,"CEFAS","A",88
17278,"B28","P",2012,"CEFAS","A",69
17279,"B29","P",2012,"CEFAS","A",84
17280,"B30","P",2012,"CEFAS","A",84
17281,"B31","P",2012,"CEFAS","A",73
17282,"B32","P",2012,"CEFAS","A",80
17283,"B33","P",2012,"CEFAS","A",89
17284,"B34","P",2012,"CEFAS","A",77
17285,"B35","P",2012,"CEFAS","A",60
17286,"B36","P",2012,"CEFAS","A",67
17287,"B37","P",2012,"CEFAS","A",19
17288,"B38","P",2012,"CEFAS","A",24
17289,"B39","P",2012,"CEFAS","A",13
17290,"B40","P",2012,"CEFAS","A",57
17291,"B41","P",2012,"CEFAS","A",55
17292,"B42","P",2012,"CEFAS","A",55
17293,"B43","P",2012,"CEFAS","A",49
17294,"B44","P",2012,"CEFAS","A",48
17295,"B45","P",2012,"CEFAS","A",34
17296,"B46","P",2012,"CEFAS","A",28
17297,"B47","P",2012,"CEFAS","A",61
17298,"B48","P",2012,"CEFAS","A",38
17299,"B49","P",2012,"CEFAS","A",49
17300,"B50","P",2012,"CEFAS","A",71
17301,"B51","P",2012,"CEFAS","A",62
17302,"B52","P",2012,"CEFAS","A",58
17303,"B53","P",2012,"CEFAS","A",49
17304,"B54","P",2012,"CEFAS","A",45
17305,"B55","P",2012,"CEFAS","A",52
17306,"B56","P",2012,"CEFAS","A",52
17307,"B57","P",2012,"CEFAS","A",33
17308,"D01","P",2012,"CEFAS","A",79
17309,"D02","P",2012,"CEFAS","A",57
17310,"D03","P",2012,"CEFAS","A",71
17311,"E01","P",2012,"CEFAS","A",10
17312,"E03","P",2012,"CEFAS","A",7
17313,"W01","P",2012,"CEFAS","A",63
17314,"W02","P",2012,"CEFAS","A",67
17315,"W03","P",2012,"CEFAS","A",58
17316,"W04","P",2012,"CEFAS","A",49
17317,"X01","P",2012,"CEFAS","A",92
17318,"X02","P",2012,"CEFAS","A",73
17319,"X03","P",2012,"CEFAS","A",66
17320,"X04","P",2012,"CEFAS","A",67
17321,"X05","P",2012,"CEFAS","A",77
17322,"EEI","P",2012,"FERA","A",50
17323,"MW","P",2012,"FERA","A",74
17324,"OP","P",2012,"FERA","A",57
17325,"LM","P",2012,"FERA","A",61
17326,"MT","P",2012,"FERA","A",73
17327,"LD","P",2012,"FERA","A",38
17328,"IF","P",2012,"FERA","A",69
17329,"RW","P",2012,"FERA","A",71
17330,"PB","P",2012,"FERA","A",23
17331,"LC","P",2012,"FERA","A",26
17332,"B01","P",2012,"FERA","A",92
17333,"B02","P",2012,"FERA","A",78
17334,"B03","P",2012,"FERA","A",76
17335,"B04","P",2012,"FERA","A",48
17336,"B05","P",2012,"FERA","A",76
17337,"B06","P",2012,"FERA","A",56
17338,"B07","P",2012,"FERA","A",54
17339,"B08","P",2012,"FERA","A",61
17340,"B09","P",2012,"FERA","A",59
17341,"B10","P",2012,"FERA","A",80
17342,"B11","P",2012,"FERA","A",79
17343,"B12","P",2012,"FERA","A",48
17344,"B13","P",2012,"FERA","A",70
17345,"B14","P",2012,"FERA","A",75
17346,"B15","P",2012,"FERA","A",56
17347,"B16","P",2012,"FERA","A",51
17348,"B17","P",2012,"FERA","A",61
17349,"B18","P",2012,"FERA","A",30
17350,"B19","P",2012,"FERA","A",77
17351,"B20","P",2012,"FERA","A",73
17352,"B21","P",2012,"FERA","A",69
17353,"B22","P",2012,"FERA","A",50
17354,"B23","P",2012,"FERA","A",42
17355,"B24","P",2012,"FERA","A",25
17356,"B25","P",2012,"FERA","A",34
17357,"B26","P",2012,"FERA","A",76
17358,"B27","P",2012,"FERA","A",79
17359,"B28","P",2012,"FERA","A",55
17360,"B29","P",2012,"FERA","A",67
17361,"B30","P",2012,"FERA","A",81
17362,"B31","P",2012,"FERA","A",67
17363,"B32","P",2012,"FERA","A",76
17364,"B33","P",2012,"FERA","A",89
17365,"B34","P",2012,"FERA","A",72
17366,"B35","P",2012,"FERA","A",52
17367,"B36","P",2012,"FERA","A",61
17368,"B37","P",2012,"FERA","A",22
17369,"B38","P",2012,"FERA","A",28
17370,"B39","P",2012,"FERA","A",20
17371,"B40","P",2012,"FERA","A",24
17372,"B41","P",2012,"FERA","A",34
17373,"B42","P",2012,"FERA","A",28
17374,"B43","P",2012,"FERA","A",27
17375,"B44","P",2012,"FERA","A",24
17376,"B45","P",2012,"FERA","A",15
17377,"B46","P",2012,"FERA","A",16
17378,"B47","P",2012,"FERA","A",37
17379,"B48","P",2012,"FERA","A",27
17380,"B49","P",2012,"FERA","A",30
17381,"B50","P",2012,"FERA","A",44
17382,"B51","P",2012,"FERA","A",35
17383,"B52","P",2012,"FERA","A",32
17384,"B53","P",2012,"FERA","A",29
17385,"B54","P",2012,"FERA","A",26
17386,"B55","P",2012,"FERA","A",29
17387,"B56","P",2012,"FERA","A",37
17388,"B57","P",2012,"FERA","A",18
17389,"D01","P",2012,"FERA","A",82
17390,"D02","P",2012,"FERA","A",53
17391,"D03","P",2012,"FERA","A",63
17392,"E01","P",2012,"FERA","A",7
17393,"E03","P",2012,"FERA","A",8
17394,"W01","P",2012,"FERA","A",58
17395,"W02","P",2012,"FERA","A",66
17396,"W03","P",2012,"FERA","A",59
17397,"W04","P",2012,"FERA","A",52
17398,"X01","P",2012,"FERA","A",88
17399,"X02","P",2012,"FERA","A",65
17400,"X03","P",2012,"FERA","A",58
17401,"X04","P",2012,"FERA","A",55
17402,"X05","P",2012,"FERA","A",73
17403,"EEI","P",2012,"RPA","A",38
17404,"MW","P",2012,"RPA","A",55
17405,"OP","P",2012,"RPA","A",75
17406,"LM","P",2012,"RPA","A",59
17407,"MT","P",2012,"RPA","A",72
17408,"LD","P",2012,"RPA","A",21
17409,"IF","P",2012,"RPA","A",58
17410,"RW","P",2012,"RPA","A",60
17411,"PB","P",2012,"RPA","A",29
17412,"LC","P",2012,"RPA","A",28
17413,"B01","P",2012,"RPA","A",76
17414,"B02","P",2012,"RPA","A",66
17415,"B03","P",2012,"RPA","A",53
17416,"B04","P",2012,"RPA","A",31
17417,"B05","P",2012,"RPA","A",52
17418,"B06","P",2012,"RPA","A",78
17419,"B07","P",2012,"RPA","A",74
17420,"B08","P",2012,"RPA","A",73
17421,"B09","P",2012,"RPA","A",58
17422,"B10","P",2012,"RPA","A",78
17423,"B11","P",2012,"RPA","A",74
17424,"B12","P",2012,"RPA","A",54
17425,"B13","P",2012,"RPA","A",63
17426,"B14","P",2012,"RPA","A",72
17427,"B15","P",2012,"RPA","A",63
17428,"B16","P",2012,"RPA","A",50
17429,"B17","P",2012,"RPA","A",44
17430,"B18","P",2012,"RPA","A",35
17431,"B19","P",2012,"RPA","A",79
17432,"B20","P",2012,"RPA","A",75
17433,"B21","P",2012,"RPA","A",63
17434,"B22","P",2012,"RPA","A",32
17435,"B23","P",2012,"RPA","A",21
17436,"B24","P",2012,"RPA","A",13
17437,"B25","P",2012,"RPA","A",18
17438,"B26","P",2012,"RPA","A",63
17439,"B27","P",2012,"RPA","A",77
17440,"B28","P",2012,"RPA","A",41
17441,"B29","P",2012,"RPA","A",51
17442,"B30","P",2012,"RPA","A",73
17443,"B31","P",2012,"RPA","A",46
17444,"B32","P",2012,"RPA","A",57
17445,"B33","P",2012,"RPA","A",75
17446,"B34","P",2012,"RPA","A",52
17447,"B35","P",2012,"RPA","A",51
17448,"B36","P",2012,"RPA","A",63
17449,"B37","P",2012,"RPA","A",27
17450,"B38","P",2012,"RPA","A",31
17451,"B39","P",2012,"RPA","A",28
17452,"B40","P",2012,"RPA","A",28
17453,"B41","P",2012,"RPA","A",37
17454,"B42","P",2012,"RPA","A",28
17455,"B43","P",2012,"RPA","A",52
17456,"B44","P",2012,"RPA","A",25
17457,"B45","P",2012,"RPA","A",17
17458,"B46","P",2012,"RPA","A",18
17459,"B47","P",2012,"RPA","A",40
17460,"B48","P",2012,"RPA","A",18
17461,"B49","P",2012,"RPA","A",22
17462,"B50","P",2012,"RPA","A",16
17463,"B51","P",2012,"RPA","A",17
17464,"B52","P",2012,"RPA","A",24
17465,"B53","P",2012,"RPA","A",16
17466,"B54","P",2012,"RPA","A",16
17467,"B55","P",2012,"RPA","A",24
17468,"B56","P",2012,"RPA","A",33
17469,"B57","P",2012,"RPA","A",18
17470,"D01","P",2012,"RPA","A",91
17471,"D02","P",2012,"RPA","A",72
17472,"D03","P",2012,"RPA","A",56
17473,"E01","P",2012,"RPA","A",15
17474,"E03","P",2012,"RPA","A",15
17475,"W01","P",2012,"RPA","A",55
17476,"W02","P",2012,"RPA","A",58
17477,"W03","P",2012,"RPA","A",53
17478,"W04","P",2012,"RPA","A",52
17479,"X01","P",2012,"RPA","A",73
17480,"X02","P",2012,"RPA","A",45
17481,"X03","P",2012,"RPA","A",43
17482,"X04","P",2012,"RPA","A",47
17483,"X05","P",2012,"RPA","A",68
17484,"EEI","P",2012,"VMD","A",64
17485,"MW","P",2012,"VMD","A",82
17486,"OP","P",2012,"VMD","A",94
17487,"LM","P",2012,"VMD","A",71
17488,"MT","P",2012,"VMD","A",85
17489,"LD","P",2012,"VMD","A",53
17490,"IF","P",2012,"VMD","A",86
17491,"RW","P",2012,"VMD","A",84
17492,"PB","P",2012,"VMD","A",34
17493,"LC","P",2012,"VMD","A",51
17494,"B01","P",2012,"VMD","A",90
17495,"B02","P",2012,"VMD","A",80
17496,"B03","P",2012,"VMD","A",82
17497,"B04","P",2012,"VMD","A",70
17498,"B05","P",2012,"VMD","A",86
17499,"B06","P",2012,"VMD","A",95
17500,"B07","P",2012,"VMD","A",93
17501,"B08","P",2012,"VMD","A",94
17502,"B09","P",2012,"VMD","A",70
17503,"B10","P",2012,"VMD","A",88
17504,"B11","P",2012,"VMD","A",85
17505,"B12","P",2012,"VMD","A",66
17506,"B13","P",2012,"VMD","A",77
17507,"B14","P",2012,"VMD","A",77
17508,"B15","P",2012,"VMD","A",68
17509,"B16","P",2012,"VMD","A",61
17510,"B17","P",2012,"VMD","A",68
17511,"B18","P",2012,"VMD","A",44
17512,"B19","P",2012,"VMD","A",90
17513,"B20","P",2012,"VMD","A",88
17514,"B21","P",2012,"VMD","A",77
17515,"B22","P",2012,"VMD","A",78
17516,"B23","P",2012,"VMD","A",51
17517,"B24","P",2012,"VMD","A",41
17518,"B25","P",2012,"VMD","A",43
17519,"B26","P",2012,"VMD","A",92
17520,"B27","P",2012,"VMD","A",93
17521,"B28","P",2012,"VMD","A",73
17522,"B29","P",2012,"VMD","A",87
17523,"B30","P",2012,"VMD","A",94
17524,"B31","P",2012,"VMD","A",85
17525,"B32","P",2012,"VMD","A",91
17526,"B33","P",2012,"VMD","A",98
17527,"B34","P",2012,"VMD","A",86
17528,"B35","P",2012,"VMD","A",60
17529,"B36","P",2012,"VMD","A",78
17530,"B37","P",2012,"VMD","A",33
17531,"B38","P",2012,"VMD","A",40
17532,"B39","P",2012,"VMD","A",30
17533,"B40","P",2012,"VMD","A",70
17534,"B41","P",2012,"VMD","A",48
17535,"B42","P",2012,"VMD","A",54
17536,"B43","P",2012,"VMD","A",53
17537,"B44","P",2012,"VMD","A",58
17538,"B45","P",2012,"VMD","A",35
17539,"B46","P",2012,"VMD","A",29
17540,"B47","P",2012,"VMD","A",69
17541,"B48","P",2012,"VMD","A",38
17542,"B49","P",2012,"VMD","A",53
17543,"B50","P",2012,"VMD","A",60
17544,"B51","P",2012,"VMD","A",62
17545,"B52","P",2012,"VMD","A",50
17546,"B53","P",2012,"VMD","A",50
17547,"B54","P",2012,"VMD","A",49
17548,"B55","P",2012,"VMD","A",57
17549,"B56","P",2012,"VMD","A",60
17550,"B57","P",2012,"VMD","A",35
17551,"D01","P",2012,"VMD","A",90
17552,"D02","P",2012,"VMD","A",63
17553,"D03","P",2012,"VMD","A",74
17554,"E01","P",2012,"VMD","A",6
17555,"E03","P",2012,"VMD","A",7
17556,"W01","P",2012,"VMD","A",69
17557,"W02","P",2012,"VMD","A",71
17558,"W03","P",2012,"VMD","A",63
17559,"W04","P",2012,"VMD","A",51
17560,"X01","P",2012,"VMD","A",92
17561,"X02","P",2012,"VMD","A",74
17562,"X03","P",2012,"VMD","A",69
17563,"X04","P",2012,"VMD","A",73
17564,"X05","P",2012,"VMD","A",64
17565,"EEI","P",2012,"FSA","A",51
17566,"MW","P",2012,"FSA","A",65
17567,"OP","P",2012,"FSA","A",78
17568,"LM","P",2012,"FSA","A",59
17569,"MT","P",2012,"FSA","A",71
17570,"LD","P",2012,"FSA","A",37
17571,"IF","P",2012,"FSA","A",66
17572,"RW","P",2012,"FSA","A",71
17573,"PB","P",2012,"FSA","A",23
17574,"LC","P",2012,"FSA","A",31
17575,"B01","P",2012,"FSA","A",87
17576,"B02","P",2012,"FSA","A",69
17577,"B03","P",2012,"FSA","A",65
17578,"B04","P",2012,"FSA","A",49
17579,"B05","P",2012,"FSA","A",56
17580,"B06","P",2012,"FSA","A",81
17581,"B07","P",2012,"FSA","A",77
17582,"B08","P",2012,"FSA","A",77
17583,"B09","P",2012,"FSA","A",59
17584,"B10","P",2012,"FSA","A",73
17585,"B11","P",2012,"FSA","A",74
17586,"B12","P",2012,"FSA","A",56
17587,"B13","P",2012,"FSA","A",66
17588,"B14","P",2012,"FSA","A",67
17589,"B15","P",2012,"FSA","A",56
17590,"B16","P",2012,"FSA","A",52
17591,"B17","P",2012,"FSA","A",56
17592,"B18","P",2012,"FSA","A",34
17593,"B19","P",2012,"FSA","A",76
17594,"B20","P",2012,"FSA","A",72
17595,"B21","P",2012,"FSA","A",64
17596,"B22","P",2012,"FSA","A",55
17597,"B23","P",2012,"FSA","A",35
17598,"B24","P",2012,"FSA","A",26
17599,"B25","P",2012,"FSA","A",31
17600,"B26","P",2012,"FSA","A",73
17601,"B27","P",2012,"FSA","A",80
17602,"B28","P",2012,"FSA","A",51
17603,"B29","P",2012,"FSA","A",61
17604,"B30","P",2012,"FSA","A",84
17605,"B31","P",2012,"FSA","A",65
17606,"B32","P",2012,"FSA","A",76
17607,"B33","P",2012,"FSA","A",89
